id,likes,replies,retweets,text,url,user
815666459200356352,34,1,5,Taylor is so hungover her boyfriend has literally just been bringing her different food all day pic.twitter.com/FdJ5iuIH44,/lindseyfontneau/status/815666459200356352,lindseyfontneau
822594552687104001,0,0,0,@Wendys Can you make a whopper so your food is actually good,/AustinAyers367/status/822594552687104001,AustinAyers367
822594549797289985,3,0,0,"""in addition to cooking, she will occasionally give you a cherry bomb instead of food""",/doctormarz/status/822594549797289985,doctormarz
822594548685803520,0,0,0,I want my food ,/rocsprincess2/status/822594548685803520,rocsprincess2
822594542943764481,0,0,0,"I've harvested 1,065 food! Check your patches for food too!  http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight",/jlittle1979/status/822594542943764481,jlittle1979
822590016694157313,1,0,2,Pretty proud of me mate @tristangled and his obscene new food porn website. https://www.tristanlutze.com/ ,/jothornely/status/822590016694157313,jothornely
822556812465602564,821,12,249,You don’t know heartbreak until you see the waiter coming to your table with food but then take a sharp turn to a different table.,/BiIIMurray/status/822556812465602564,BiIIMurray
822594537558310912,0,0,0,"You've had their food, but do you know the story? Michael Keaton is #TheFounder - now playing! Get tix:... http://fb.me/8Mxc8F1Ft ",/venuevalet/status/822594537558310912,venuevalet
822594532575506432,0,0,0,I'm waiting for you to arrive! Bring food! Lolz,/PaulCoffeeFreak/status/822594532575506432,PaulCoffeeFreak
822594531879251969,1,0,0,"pb&j is my comfort food tbh
wish i had some milk though u_u coffee will do",/yoomster/status/822594531879251969,yoomster
822594531367469058,0,0,0,The saddest thing is when you order food and they forget to give you the sauce you asked for ,/shawniataisto/status/822594531367469058,shawniataisto
822594526850281473,1,0,0,I've eaten about 40lbs of food today and I'm still hungry,/NETFLISK/status/822594526850281473,NETFLISK
822594525885530113,0,0,0,"Maybe because, dream is so much important to make you stay alive.

Well beside food, oxy, and home.",/_aerinah/status/822594525885530113,_aerinah
822594525134749696,1,0,0,"""Recipe: Vegan Slow-Cooker Chickpea Tikka Masala — Recipes from The Kitchn"" http://www.thekitchn.com/recipe-slow-cooker-chickpea-tikka-masala-239539 … #food #feedly",/Ktsablonde/status/822594525134749696,Ktsablonde
