id,likes,replies,retweets,text,url,user,rating,rating_norm
876679437512839200,87,11,41,"The gender prize money gap in sport is closing with more sports than ever achieving parity at the top level.

More  http://bbc.in/2rLWH1v pic.twitter.com/XN6kmQ8a4S",/BBCSport/status/876679437512839169,BBCSport,46.3333333333,0.0007215494105607209
869339819310272500,101,2,10,BK...your opinion is part of making the sport what it is.  Be as vocal as you like...we appreciate it.,/bradleymenglin/status/869339819310272512,bradleymenglin,37.6666666667,0.0005865833337661316
857011681662206000,71,4,27,"Very frustrated that the 'solution' to economic inequality is ""hunt rich Democrats for sport"" instead of ""how do we change the system?",/ApocalypticaNow/status/857011681662205952,ApocalypticaNow,34,0.0005294823012751545
938558296683823100,82,6,9,It's hard to find a stronger supporter of sport than @JaycoAust Chair Gerry Ryan OAM. And he has just extended his company major partnership of @HeraldSunTour for another 3 years. #JaycoHeraldSunTour2018,/HeraldSunTour/status/938558296683823105,HeraldSunTour,32.3333333333,0.0005035272865062455
895071913503998000,64,0,19,"Nadal on still being at the top: ""The mental aspect isn't difficult if you love the sport.""
Read: http://www.tennis.com/pro-game/2017/08/verge-returning-no-1-rafael-nadal-taking-it-match-match/68405/ …pic.twitter.com/88MO4Qfy6q",/Tennis/status/895071913503997958,Tennis,27.6666666667,0.0004308532451557919
853397507866546200,54,2,22,Baseball> every other sport,/yourbabygirlnic/status/853397507866546177,yourbabygirlnic,26,0.0004048982303868829
824406276008509400,56,3,18,"If he from Maryland he's more than likely intelligent, cute, but he sucks whatever sport he plays, dick STAY ashy, and he's spoiled",/JayKenMinaj/status/824406276008509440,JayKenMinaj,25.6666666667,0.000399707227433724
884144886911569900,58,3,12,"State of affairs for next-generation Canadian sport in 2017:
 
Under-19 hockey team wins silver at world juniors; U-19 hoops team wins gold.",/ArashMadani/status/884144886911569920,ArashMadani,24.3333333333,0.0003789432156179739
824406218185834500,59,0,9,"GSP trained in Montreal at Tri Star Gym, under the tutelage of Firas Zahabi.

Zahabi is one of the most knowledgable minds in our sport. pic.twitter.com/jArheUwG7C",/MMAHistoryToday/status/824406218185834497,MMAHistoryToday,22.6666666667,0.00035298820085062215
958489862495227900,13,6,46,"Galgos are bred in dreadful places! Dragged through streets tied to motorbikes or trucks, “training” then the following year thousands more are bred to take their places! If you go to Spain & the other countries, please have nothing to do with this wicked “sport!”  pic.twitter.com/dylTO4n5dt",/MAnnaliese/status/958489862495227905,MAnnaliese,21.6666666667,0.00033741519198958816
887683877581475800,38,1,25,"Nicely done, should be required reading: So What Is Developmentally Appropriate Sport? Richard Bailey | UK Coaching http://www.ukcoaching.org/blog/so-what-developmentally-appropriate-sport-richard-bailey#.WW9vdSulkpQ.twitter …",/WadeWgilbert/status/887683877581475841,WadeWgilbert,21.3333333333,0.000332224189034872
915003076016263200,48,0,15,"'18 6'7 Clarence ""CJ"" Jackson (Wilkinson Co) is one of the best 2-sport athletes in GA

Recruitment in bball & fball is picking up

3.5 GPA pic.twitter.com/pxrZopGhKG",/AlbEliteTigers/status/915003076016263168,AlbEliteTigers,21,0.0003270331860817131
884063243471380500,21,3,31,"These boys rival jockeys for the toughest men in sport, hoping #RichiePorte is ok  worst crash I've seen #TDF2017 pic.twitter.com/gDuvG4z9P9",/Mosey004/status/884063243471380480,Mosey004,18.3333333333,0.00028550516245177016
933122712058314800,26,0,29,"New #AusPlay data reveals women are more physically active than men ...... although women & girls are still not participating in organised sport at the same levels. #WomenInSport http://ausport.gov.au/news/asc_news/story_665922_women_are_active,_creating_opportunity_for_sport_asc …pic.twitter.com/iY3QOzAwtn",/Ausport/status/933122712058314754,Ausport,18.3333333333,0.00028550516245177016
862457174995247100,40,3,8,"Toles said injuries are part of the sport. No sense in being distraught, he said.",/kengurnick/status/862457174995247104,kengurnick,17,0.00026474115063757726
882388249578176500,49,0,2,Ur reporting the wrong sport,/giantspls/status/882388249578176513,giantspls,17,0.00026474115063757726
840713924962078700,47,0,2,Stenson asked if I still have baby fever after this yesterday.  Happy I work in a sport with quality guys like him. #morningdriveinfluencepic.twitter.com/0bk0vh8qtE,/ChantelMcCabeGC/status/840713924962078720,ChantelMcCabeGC,16.3333333333,0.00025435914472970224
872950791157538800,9,0,38,hating is a broke bitch sport.,/_jayysterrr/status/872950791157538817,_jayysterrr,15.666666666700001,0.00024397713882338447
898658521352294400,31,1,15,A Calgary school is offering a free multi-sport program to introduce kids to an active lifestyle: http://bit.ly/2v2Ccz4  #PhysicalLiteracypic.twitter.com/ivvjVoGJOL,/activeforlife/status/898658521352294401,activeforlife,15.666666666700001,0.00024397713882338447
857021396349624300,40,1,5,"Tired of Cudas and Challengers, or just want something different? This '63 Sport Fury has timeless lines and won't break the bank. #MOPARpic.twitter.com/WuHZ0XOTKq",/DaveintheDesert/status/857021396349624320,DaveintheDesert,15.333333333299999,0.00023878613586866823
900507773825196000,33,7,5,"One of these days, websites & online media will be treated with the respect they deserve for all the hours they spend covering this sport!",/fighthype/status/900507773825196032,fighthype,15,0.00023359513291550937
849773605013663700,39,2,3,"My new song ""This Is My Life"" featured on BBC Sport Masters coverage soundtracking Tiger Woods 20 years since he won his first green jacket pic.twitter.com/cEwxWDtlwu",/AlistairGriffin/status/849773605013663745,AlistairGriffin,14.666666666700001,0.0002284041299623505
889635817106419700,22,0,18,VicHealth and @Sport_England announce #ThisGirlCanVic partnership today at #MSAC to inspire more women to get activepic.twitter.com/CoEKTTnK4H,/MSAC_VIC/status/889635817106419716,MSAC_VIC,13.333333333299999,0.00020764011814660032
873328726028632000,32,1,3,"Congratulations, Greg, on one of the most remarkable careers in the sport. It's been a honor to share the story of so many of your victories https://twitter.com/gregbennett1/status/873269112293793793 …",/slowtwitch/status/873328726028632064,slowtwitch,12,0.0001868761063324075
943994337020452900,26,0,10,shopping for men is literally an extreme sport,/xoxoemily__/status/943994337020452864,xoxoemily__,12,0.0001868761063324075
886012170785378300,10,7,17,Leigh Griffiths hit by missiles during Celtic’s win over Linfield in Belfast http://trib.al/sTvAEQb  via @guardian_sport,/guardian/status/886012170785378304,guardian,11.333333333299999,0.0001764941004245324
820782465442791400,9,2,22,DANCE IS A SPORT,/shekaybee/status/820782465442791424,shekaybee,11,0.00017130309747137354
838901834718842900,31,2,0,#NHswimming Thank you NH area; I'm grateful for your support this year & the last 11 covering the sport; hope to see you again next winter,/CLillstrungNH/status/838901834718842880,CLillstrungNH,11,0.00017130309747137354
824405227688243200,27,0,5,"Thank you to the legends of our sport... I have a vested interest in the work that we do for gender equality"" @CraigTiley #ausopenpic.twitter.com/7ZDJo8VRFx",/AustralianOpen/status/824405227688243200,AustralianOpen,10.6666666667,0.00016611209451821465
949430056279052300,27,4,0,That’s not really what the results show. Those whose favorite sport is football or basketball might still prefer watching baseball to soccer.,/BlueBoxDave/status/949430056279052291,BlueBoxDave,10.3333333333,0.00016092109156349847
864268624516612100,26,2,2,The Palo swim team gets no recognition yet it's the most decorated sport at Palo Verde...,/bigalforever/status/864268624516612096,bigalforever,10,0.00015573008861033958
961026201216196600,19,0,6,"the real tragedy is that gymnastics is probably the one sport where AFABs will continue to make up the majority of olympic athletes, seeing how height and a higher center of gravity will disadavantage any transwomen who might have wanted to compete. Gymnastics is a terf sport https://twitter.com/3rdWaveLessons/status/961017007666802692 …",/confirmedterfs/status/961026201216196608,confirmedterfs,8.333333333330001,0.00012977507384189776
831648185097547800,13,2,9,Luis Enrique gets angry with TV3 journalist http://www.sport-english.com/en/news/barca/luis-enrique-pierde-los-papeles-ante-periodista-5838463 …,/Sport_EN/status/831648185097547776,Sport_EN,8,0.00012458407088827166
840713528390668300,14,2,7,If the @NCAA makes Duke a 1 seed the @WWE is the only legitimate sport left in America,/JLAlbright/status/840713528390668288,JLAlbright,7.666666666669999,0.00011939306793464558
933122829519691800,21,0,2,NEW EXTREME SPORT: Driving while being blinded by someone’s bright lights,/jamiegoulding13/status/933122829519691778,jamiegoulding13,7.666666666669999,0.00011939306793464558
